15	THE PRELUDE
12.5.4	<xref n="Mohl 12.5.114"/>How <persName>Rustam</persName> slew <persName>Sudaba</persName> and led forth the Host
12.5.5	<xref n="Mohl 12.5.115"/>How <persName>Faramarz</persName> slew <persName>Warazad</persName>
12.5.6	<xref n="Mohl 12.5.116"/>How <persName>Surkha</persName> led his Troops to fight with <persName>Rustam</persName>
12.5.7	<xref n="Mohl 12.5.117"/>How <persName>Afrasiyab</persName> led forth the Host to avenge his Son
12.5.8	<xref n="Mohl 12.5.118"/>How <persName>Pilsam</persName> was slain by <persName>Rustam</persName>
12.5.9	<xref n="Mohl 12.5.119"/>How <persName>Afrasiyab</persName> fled from <persName>Rustam</persName>
12.5.10	<xref n="Mohl 12.5.120"/>How <persName>Afrasiyab</persName> sent Khusrau to <placeName>Khutan</placeName>
12.5.11	<xref n="Mohl 12.5.121"/>How <persName>Rustam</persName> reigned over <placeName>Turan</placeName> for Seven Years
12.5.12	<xref n="Mohl 12.5.122"/>How <persName>Zawara</persName> went to the Hunting-ground of <persName>Siyawush</persName>
12.5.13	<xref n="Mohl 12.5.123"/>How <persName>Rustam</persName> harried the Land of <placeName>Turan</placeName>
12.5.14	<xref n="Mohl 12.5.124"/>How <persName>Rustam</persName> returned to <placeName>Iran</placeName>
12.5.15	<xref n="Mohl 12.5.125"/>How <persName>Gudarz</persName> had a Dream of <persName>Kai Khusrau</persName>
12.5.16	<xref n="Mohl 12.5.126"/>How <persName>Giv</persName> went to <placeName>Turan</placeName> in Quest of <persName>Kai Khusrau</persName>
12.5.17	<xref n="Mohl 12.5.127"/>The Finding of <persName>Kai Khusrau</persName>
12.5.18	<xref n="Mohl 12.5.128"/>How <persName>Giv</persName> and <persName>Kai Khusrau</persName> went to <placeName>Siyawushgird</placeName>
12.5.19	<xref n="Mohl 12.5.129"/>How <persName>Kai Khusrau</persName> won <rs type="horse">Bihzad</rs>
12.5.20	<xref n="Mohl 12.5.130"/>How <persName>Farangis</persName> went with <persName>Kai Khusrau</persName> and <persName>Giv</persName> to <placeName>Iran</placeName>
12.5.21	<xref n="Mohl 12.5.131"/>How <persName>Kulbad</persName> and <persName>Nastihan</persName> fled from <persName>Giv</persName>
12.5.22	<xref n="Mohl 12.5.132"/>How <persName>Piran</persName> pursued <persName>Kai Khusrau</persName>
12.5.23	<xref n="Mohl 12.5.133"/>How <persName>Piran</persName> contended with <persName>Giv</persName>
12.5.24	<xref n="Mohl 12.5.134"/>How <persName>Piran</persName> was taken by <persName>Giv</persName>
12.5.25	<xref n="Mohl 12.5.135"/>How <persName>Farangis</persName> delivered <persName>Piran</persName> from <persName>Giv</persName>
12.5.26	<xref n="Mohl 12.5.136"/>How <persName>Afrasiyab</persName> found <persName>Piran</persName> on the Way
12.5.27	<xref n="Mohl 12.5.137"/>How <persName>Giv</persName> disputed with the Toll-man
12.5.28	<xref n="Mohl 12.5.138"/>How <persName>Kai Khusrau</persName> crossed the <placeName>Jihun</placeName>
12.5.29	<xref n="Mohl 12.5.139"/>How <persName>Kai Khusrau</persName> came to <placeName>Ispahan</placeName>
12.5.30	<xref n="Mohl 12.5.140"/>How <persName>Kai Khusrau</persName> came to <persName>Kaus</persName>
12.5.31	<xref n="Mohl 12.5.141"/>How <persName>Tus</persName> refused Allegiance to <persName>Kai Khusrau</persName>
12.5.32	<xref n="Mohl 12.5.142"/>How <persName>Gudarz</persName> was wroth with <persName>Tus</persName>
12.5.33	<xref n="Mohl 12.5.143"/>How <persName>Gudarz</persName> and <persName>Tus</persName> went before <persName>Kaus</persName> on the Matter of the Kingship
12.5.34	<xref n="Mohl 12.5.144"/>How <persName>Tus</persName> and <persName>Fariburz</persName> went to the Castle of <persName>Bahman</persName> and came back foiled
12.5.35	<xref n="Mohl 12.5.145"/>How <persName>Kai Khusrau</persName> went to the Castle of <persName>Bahman</persName> and took it
12.5.36	<xref n="Mohl 12.5.146"/>How <persName>Kai Khusrau</persName> returned in Triumph
12.5.37	<xref n="Mohl 12.5.147"/>How <persName>Kaus</persName> set Khusrau upon the Throne of Kingship
13.1.1	<xref n="Mohl 13.1.1"/>The Prelude
13.1.2	<xref n="Mohl 13.1.2"/>How the Nobles did homage to <persName>Kai Khusrau</persName>
13.1.3	<xref n="Mohl 13.1.3"/>How <persName>Kai Khusrau</persName> made a Progress through his Realm
13.1.4	<xref n="Mohl 13.1.4"/>How <persName>Kai Khusrau</persName> sware to Kai Kaus to take Vengeance
13.1.5	<xref n="Mohl 13.1.5"/>How  <persName>Kai Khusrau</persName> numbered the Paladins
13.1.6	<xref n="Mohl 13.1.6"/>How <persName>Kai Khusrau</persName> bestowed Treasures upon the Paladins
13.1.7	<xref n="Mohl 13.1.7"/>How <persName>Kai Khusrau</persName> sent <persName>Rustam</persName> to the Land of <placeName>Hind</placeName>
13.1.8	<xref n="Mohl 13.1.8"/>How <persName>Kai Khusrau</persName> reviewed the Host
13.1.9	<xref n="Mohl 13.1.9"/>The Prelude
13.1.10	<xref n="Mohl 13.1.10"/>How <persName>Tus</persName> went to Turkistan
13.1.11	<xref n="Mohl 13.1.11"/>How <persName>Farud</persName> heard of the Coming of Tus
13.1.12	<xref n="Mohl 13.1.12"/>How <persName>Farud</persName> and <persName>Tukhar</persName> went to view the Host
13.1.13	<xref n="Mohl 13.1.13"/>How Bahram came to Farud upon the Mountain
13.1.14	<xref n="Mohl 13.1.14"/>How <persName>Bahram</persName> went back to <persName>Tus</persName>
13.1.15	<xref n="Mohl 13.1.15"/>How <persName>Rivniz</persName> was slain by <persName>Farud</persName>
13.1.16	<xref n="Mohl 13.1.16"/>How Zarasp was slain by <persName>Farud</persName>
13.1.17	<xref n="Mohl 13.1.17"/>How <persName>Tus</persName> fought with <persName>Farud</persName>
13.1.18	<xref n="Mohl 13.1.18"/>How <persName>Giv</persName> fought with <persName>Farud</persName>
13.1.19	<xref n="Mohl 13.1.19"/>How <persName>Bizhan</persName> fought with <persName>Farud</persName>
13.1.20	<xref n="Mohl 13.1.20"/>How <persName>Farud</persName> was slain
13.1.21	<xref n="Mohl 13.1.21"/>How Jariva slew herself
13.1.22	<xref n="Mohl 13.1.22"/>How Tis led the Host to the Kdsa Rid, and how Paldshén was slain by <persName>Bizhan</persName>
13.1.23	<xref n="Mohl 13.1.23"/>How the <rs type="ethnic">Iranians</rs> suffered in a Snowstorm
13.1.24	<xref n="Mohl 13.1.24"/>How Bahrdém captured Kabida
13.1.25	<xref n="Mohl 13.1.25"/>How the frénians fought with Tazhdv
13.1.26	<xref n="Mohl 13.1.26"/>How Afrdstydb had Tidings of <persName>Tus</persName> and his Host
13.1.27	<xref n="Mohl 13.1.27"/>How <persName>Piran</persName> made a Night-attack on the <rs type="ethnic">Iranians</rs>
13.1.28	<xref n="Mohl 13.1.28"/>How <persName>Kai Khusrau</persName> recalled <persName>Tus</persName>
13.1.29	<xref n="Mohl 13.1.29"/>How <persName>Fariburz</persName> asked a Truce of <persName>Piran</persName>
13.1.30	<xref n="Mohl 13.1.30"/>How the <rs type="ethnic">Iranians</rs> were defeated by the <rs type="ethnic">Turkmans</rs>
13.1.31	<xref n="Mohl 13.1.31"/>How <persName>Bahram</persName> returned to look for his Whip on the Battlefield
13.1.32	<xref n="Mohl 13.1.32"/>How <persName>Bahram</persName> was slain by Tazhév
13.1.33	<xref n="Mohl 13.1.33"/>How <persName>Giv</persName> slew <persName>Tazhav</persName> in Revenge for <persName>Bahram</persName>
13.1.34	<xref n="Mohl 13.1.34"/>How the Iranians went back to <persName>Khusrau</persName>
13.2.1	<xref n="Mohl 13.2.35"/>The Prelude
13.2.2	<xref n="Mohl 13.2.36"/>How <persName>Khusrau</persName> reviled <persName>Tus</persName>
13.2.3	<xref n="Mohl 13.2.37"/>How <persName>Khusrau</persName> pardoned the <rs type="ethnic">Iranians</rs>
13.2.4	<xref n="Mohl 13.2.38"/>How <persName>Khusrau</persName> sent <persName>Tus</persName> to <placeName>Turan</placeName>
13.2.5	<xref n="Mohl 13.2.39"/>The Message of <persName>Piran</persName> to the Army of <placeName>Iran</placeName>
13.2.6	<xref n="Mohl 13.2.40"/>How <persName>Afrasiyab</persName> sent an Army to <persName>Piran</persName>
13.2.7	<xref n="Mohl 13.2.41"/>How <persName>Tus</persName> slew Arzhang
13.2.8	How <persName>Human</persName> fought with <persName>Tus</persName>
13.2.9	<xref n="Mohl 13.2.42"/>How the <rs type="ethnic">Iranians</rs> and <rs type="ethnic">Turanians</rs> Fought the second Time
13.2.10	<xref n="Mohl 13.2.43"/>How the <rs type="ethnic">Turanians</rs> used Sorcery against the Host of <placeName>Iran</placeName>
13.2.11	<xref n="Mohl 13.2.44"/>How the <rs type="ethnic">Iranians</rs> retreated to <placeName>Mount Hamawan</placeName>
13.2.12	<xref n="Mohl 13.2.45"/>How the Host of <placeName>Turan</placeName> beleaguered <placeName>Mount Hamawan</placeName>
13.2.13	<xref n="Mohl 13.2.46"/>How <persName>Piran</persName> went in Pursuit of the <rs type="ethnic">Iranians</rs> to <placeName>Mount Hamawan</placeName>
13.2.14	<xref n="Mohl 13.2.47"/>How the <rs type="ethnic">Iranians</rs> made a Night-attack
13.2.15	<xref n="Mohl 13.2.48"/>How <persName>Kai Khusrau</persName> had Tidings of his Host
13.2.16	<xref n="Mohl 13.2.49"/>How <persName>Fariburz</persName> asked to Wife Farangis, the Mother of <persName>Kai Khusrau</persName>
13.2.17	<xref n="Mohl 13.2.50"/>How <persName>Tus</persName> saw <persName>Siyawush</persName> in a Dream
13.2.18	<xref n="Mohl 13.2.51"/>How <persName>Afrasiyab</persName> sent the Khin and Kdmis to help <persName>Piran</persName>
13.2.19	<xref n="Mohl 13.2.52"/>How the <rs type="role">Khan</rs> of <placeName>Chin</placeName> came to  <placeName>Hamawan</placeName>
13.2.20	<xref n="Mohl 13.2.53"/>How the <rs type="ethnic">Iranians</rs> took Counsel how to act
13.2.21	<xref n="Mohl 13.2.54"/>How <persName>Gudarz</persName> had Tidings of the Coming of <persName>Rustam</persName>
13.2.22	<xref n="Mohl 13.2.55"/>How the <rs type="role">Khan</rs> of <placeName>Chin</placeName> went to reconnoitre the Army of <placeName>Iran</placeName>
13.2.23	<xref n="Mohl 13.2.56"/>How <persName>Fariburz</persName> reached <persName>Mount</persName>  <placeName>Hamawan</placeName>
13.2.24	<xref n="Mohl 13.2.57"/>How <persName>Piran</persName> took Counsel with the <rs type="role">Khan</rs> of <placeName>Chin</placeName>
13.2.25	<xref n="Mohl 13.2.58"/>How <persName>Piran</persName> took Counsel with the Khdn of <placeName>Chin</placeName>
13.2.26	<xref n="Mohl 13.2.59"/>The Coming of <persName>Rustam</persName>
13.2.27	<xref n="Mohl 13.2.60"/>How the <rs type="ethnic">Iranians</rs> and <rs type="ethnic">Turanians</rs> arrayed their Hosts
13.2.28	<xref n="Mohl 13.2.61"/>How <persName>Rustam</persName> fought with Ashkabus
13.2.29	<xref n="Mohl 13.2.62"/>How <persName>Piran</persName> held Converse concerning the Coming of <persName>Rustam</persName>
13.2.30	<xref n="Mohl 13.2.63"/>How the <rs type="ethnic">Iranians</rs> and <rs type="ethnic">Turanians</rs> set the Battle in Array
13.2.31	<xref n="Mohl 13.2.64"/>How Alwa was slain by <persName>Kamus</persName>
13.2.32	<xref n="Mohl 13.2.65"/>How <persName>Kamus</persName> was slain by <persName>Rustam</persName>
13.3.1	<xref n="Mohl 13.3.66"/>How the <rs type="role">Khan</rs> of <placeName>Chin</placeName> had Tidings of the Slaying
13.3.2	<xref n="Mohl 13.3.67"/>How Chingish jared with <persName>Rustam</persName>
13.3.3	<xref n="Mohl 13.3.68"/>How the <rs type="role">Khan</rs> of <placeName>Chin</placeName> sent <persName>Human</persName> to <persName>Rustam</persName>
13.3.4	<xref n="Mohl 13.3.69"/>How Pirdan took Counsel with <persName>Human</persName> and the <rs type="role">Khan</rs>
13.3.5	<xref n="Mohl 13.3.70"/>How <persName>Piran</persName> came to <persName>Rustam</persName>
13.3.6	<xref n="Mohl 13.3.71"/>How the <rs type="ethnic">Turanians</rs> took Counsel for Battle with the  <rs type="ethnic">Iranians</rs>
13.3.7	<xref n="Mohl 13.3.72"/>How <persName>Rustam</persName> harangued his Troops
13.3.8	<xref n="Mohl 13.3.73"/>How the <rs type="ethnic">Iranians</rs> and <rs type="ethnic">Turanians</rs> set the Battle in Array
13.3.9	<xref n="Mohl 13.3.74"/>How <persName>Rustam</persName> reproached <persName>Piran</persName>
13.3.10	<xref n="Mohl 13.3.75"/>How the Battle was joined
13.3.11	<xref n="Mohl 13.3.76"/>How Shangul fought with <persName>Rustam</persName> and fled
13.3.12	<xref n="Mohl 13.3.77"/>How <persName>Rustam</persName> fought with Sawa
13.3.13	<xref n="Mohl 13.3.78"/>How <persName>Rustam</persName> slew Gahar of Gahan
13.3.14	<xref n="Mohl 13.3.79"/>How the <rs type="role">Khan</rs> was taken Prisoner
13.3.15	<xref n="Mohl 13.3.80"/>How the Host of the <rs type="ethnic">Turanians</rs> was defeated
13.3.16	<xref n="Mohl 13.3.81"/>How <persName>Rustam</persName> divided the Spoil
13.3.17	<xref n="Mohl 13.3.82"/>How <persName>Rustam</persName> wrote a Letter to <persName>Kai Khusrau</persName>
13.3.18	<xref n="Mohl 13.3.83"/>How <persName>Kai Khusrau</persName> made Answer to <persName>Rustam</persName>’s Letter
13.3.19	<xref n="Mohl 13.3.84"/>How <persName>Afrasiyab</persName> had Tidings of the Case of his Army
13.3.20	<xref n="Mohl 13.3.85"/>How <persName>Rustam</persName> fought with Kafur the Man-eater
13.3.21	<xref n="Mohl 13.3.86"/>How <persName>Afrasiyab</persName> had Tidings of the Coming of <persName>Rustam</persName>
13.3.22	<xref n="Mohl 13.3.87"/>Afrasiyabs Letter to Paladawand
13.3.23	<xref n="Mohl 13.3.88"/>How Paladawand fought with <persName>Giv</persName> and <persName>Tus</persName>
13.3.24	<xref n="Mohl 13.3.89"/>How <persName>Rustam</persName> fought with Paladawand
13.3.25	<xref n="Mohl 13.3.90"/>The Wrestling of <persName>Rustam</persName> and Piladwand
13.3.26	<xref n="Mohl 13.3.91"/>How <persName>Afrasiyab</persName> fled from <persName>Rustam</persName>
13.3.27	<xref n="Mohl 13.3.92"/>How <persName>Rustam</persName> returned to the Court of the <rs type="role">Shah</rs>
13.3.28	<xref n="Mohl 13.3.93"/>How <persName>Rustam</persName> went back to <placeName>Sistan</placeName>
13.4.1	<xref n="Mohl 13.4.94"/>The Prelude
13.4.2	<xref n="Mohl 13.4.95"/>How <persName>Khusrau</persName> summoned <persName>Rustam</persName> to fight the <rs type="divinity">Div</rs> Alwan
13.4.3	<xref n="Mohl 13.4.96"/>How <persName>Rustam</persName> went in Quest of the <rs type="divinity">Div</rs>
13.4.4	<xref n="Mohl 13.4.97"/>How the <rs type="divinity">Div</rs> <rs type="divinity">Akwan</rs> flung <persName>Rustam</persName> into the Sea
13.4.5	<xref n="Mohl 13.4.98"/>How <persName>Afrasiyab</persName> came to inspect his Steeds, and how <persName>Rustam</persName> slew the <rs type="divinity">Div</rs> <rs type="divinity">Akwan</rs>.
13.4.6	<xref n="Mohl 13.4.99"/>How <persName>Rustam</persName> went back to the Land of <placeName>Iran</placeName>
13.5.1	<xref n="Mohl 13.5.100"/>The Prelude
13.5.2	<xref n="Mohl 13.5.101"/>How the <rs type="ethnic">Iranians</rs> appealed to <persName>Khusrau</persName>
13.5.3	<xref n="Mohl 13.5.102"/>How <persName>Bizhan</persName> went to fight the wild Boars
13.5.4	<xref n="Mohl 13.5.103"/>How <persName>Gurgin</persName> beguiled <persName>Bizhan</persName>
13.5.5	<xref n="Mohl 13.5.104"/>How <persName>Bizhan</persName> went to see Manizha, Daughter of <persName>Afrasiyab</persName>
13.5.6	<xref n="Mohl 13.5.105"/>How <persName>Bizhan</persName> went to the Tent of Manizha
13.5.7	<xref n="Mohl 13.5.106"/>How Manizha carried of <persName>Bizhan</persName> to her Palace
13.5.8	<xref n="Mohl 13.5.107"/>How <persName>Garsiwaz</persName> brought <persName>Bizhan</persName> before <persName>Afrasiyab</persName>
13.5.9	<xref n="Mohl 13.5.108"/>How <persName>Piran</persName> begged <persName>Bizhan</persName>’s Life from <persName>Afrasiyab</persName>
13.5.10	<xref n="Mohl 13.5.109"/>How <persName>Afrasiyab</persName> put <persName>Bizhan</persName> in Ward
13.5.11	<xref n="Mohl 13.5.110"/>How <persName>Gurgin</persName> returned to <placeName>Iran</placeName> and lied about <persName>Bizhan</persName>
13.5.12	<xref n="Mohl 13.5.111"/>How <persName>Giv</persName> brought <persName>Gurgin</persName> before <persName>Khusrau</persName>
13.5.13	<xref n="Mohl 13.5.112"/>How <persName>Kai Khusrau</persName> saw <persName>Bizhan</persName> in the Cup that showed the World
13.5.14	<xref n="Mohl 13.5.113"/>How <persName>Khusrau</persName> wrote a Letter to <persName>Rustam</persName>
13.5.15	<xref n="Mohl 13.5.114"/>How <persName>Giv</persName> bore the Letter of <persName>Kai Khusrau</persName> to <persName>Rustam</persName>
13.5.16	<xref n="Mohl 13.5.115"/>How <persName>Rustam</persName> made a Feast for <persName>Giv</persName>
13.5.17	<xref n="Mohl 13.5.116"/>How <persName>Rustam</persName> came to <persName>Khusrau</persName>
13.5.18	<xref n="Mohl 13.5.117"/>How <persName>Kai Khusrau</persName> held Feast with the Paladins
13.5.19	<xref n="Mohl 13.5.118"/>How <persName>Rustam</persName> made Petition for <persName>Gurgin</persName> to the <rs type="role">Shah</rs>
13.5.20	<xref n="Mohl 13.5.119"/>How <persName>Rustam</persName> equipped his Escort
13.5.21	<xref n="Mohl 13.5.120"/>How <persName>Rustam</persName> went to the City of <placeName>Khutan</placeName> to <persName>Piran</persName>
13.5.22	<xref n="Mohl 13.5.121"/>How Manizha came before <persName>Rustam</persName>
13.5.23	<xref n="Mohl 13.5.122"/>How <persName>Bizhan</persName> heard of the Coming of <persName>Rustam</persName>
13.5.24	<xref n="Mohl 13.5.123"/>How <persName>Rustam</persName> took <persName>Bizhan</persName> out of the Pit
13.5.25	<xref n="Mohl 13.5.124"/>How <persName>Rustam</persName> attacked the Palace of <persName>Afrasiyab</persName> by Night
13.5.26	<xref n="Mohl 13.5.125"/>How <persName>Afrasiyab</persName> went to fight with <persName>Rustam</persName>
13.5.27	<xref n="Mohl 13.5.126"/>How <persName>Afrasiyab</persName> was defeated by the <rs type="ethnic">Iranians</rs>
13.5.28	<xref n="Mohl 13.5.127"/>How <persName>Rustam</persName> returned to <persName>Kai Khusrau</persName>
13.5.29	<xref n="Mohl 13.5.128"/>How <persName>Kai Khusrau</persName> made a Feast
13.6.1	<xref n="Mohl 13.6.129"/>The Prelude
13.6.2	<xref n="Mohl 13.6.130"/>How <persName>Afrasiyab</persName> called together his Host
13.6.3	<xref n="Mohl 13.6.131"/>How Kai Khusrau sent Gudarz to fight the Tirénians .
13.6.4	<xref n="Mohl 13.6.132"/>How Giv was made the Bearer of Overtures from
13.6.5	<xref n="Mohl 13.6.133"/>How Giv visited Piran at Wisagird
13.6.6	<xref n="Mohl 13.6.134"/>The Arraying of the Hosts
13.6.7	<xref n="Mohl 13.6.135"/>How Bizhan went to Giv to urge him to fight
13.6.8	<xref n="Mohl 13.6.136"/>How Hiiméan asked Piran for Leave to fight
13.6.9	<xref n="Mohl 13.6.137"/>How Human challenged Ruhham
13.6.10	<xref n="Mohl 13.6.138"/>How Human challenged Fariburz
13.6.11	<xref n="Mohl 13.6.139"/>How Human challenged Gudarz
13.6.12	<xref n="Mohl 13.6.140"/>How Bizhan heard of the Doings of Human
13.6.13	<xref n="Mohl 13.6.141"/>How Giv gave the Mail of Siyawush to Bizhan
13.6.14	<xref n="Mohl 13.6.142"/>How Human came to Battle with Bizhan
13.6.15	<xref n="Mohl 13.6.143"/>How Human was slain by Bizhan
13.6.16	<xref n="Mohl 13.6.144"/>How Nastthan made a Night-attack and was slain
13.6.17	<xref n="Mohl 13.6.145"/>How Gudarz asked Aid of Khusrau
13.6.18	<xref n="Mohl 13.6.146"/>The Answer of Khusrau to the Letter of Gudarz
13.6.19	<xref n="Mohl 13.6.147"/>How Khusrau arrayed the Host
13.6.20	<xref n="Mohl 13.6.148"/>How Piran wrote to Gudarz Son of Kishwad
13.6.21	<xref n="Mohl 13.6.149"/>The Answer of Gudarz to the Letter of Piran
13.6.22	<xref n="Mohl 13.6.150"/>How Piran asked Succour from <persName>Afrasiyab</persName>
13.6.23	<xref n="Mohl 13.6.151"/>The Answer of <persName>Afrasiyab</persName> to the Letter of <persName>Piran</persName>
13.6.24	<xref n="Mohl 13.6.152"/>How the Iranians and Turanians fought a pitched Battle
13.6.25	<xref n="Mohl 13.6.153"/>How Giv fought with Piran and how Giv’s Horse jibbed
13.6.26	<xref n="Mohl 13.6.154"/>How Gudarz and Piran arranged a Battle of Eleven Rukhs<note n="4.88.1">See p. 7.</note>/>
13.6.27	<xref n="Mohl 13.6.155"/>How <persName>Piran</persName> harangued his Men of Name
13.6.28	<xref n="Mohl 13.6.156"/>How Gudarz and Piran chose the Warriors for the Battle of the Eleven Rukhs
13.6.29	<xref n="Mohl 13.6.157"/>How Fariburz fought with Kulbad
13.6.30	<xref n="Mohl 13.6.158"/>How Giv fought with Gurwi
13.6.31	<xref n="Mohl 13.6.159"/>How Guraza fought with Siyamak
13.6.32	<xref n="Mohl 13.6.160"/>How Furuhil fought with Zangula
13.6.33	<xref n="Mohl 13.6.161"/>How Ruhham fought with Barman
13.6.34	<xref n="Mohl 13.6.162"/>How Bizhan fought with Ruin
13.6.35	<xref n="Mohl 13.6.163"/>How Hajir fought with Sipahram
13.6.36	<xref n="Mohl 13.6.165"/>How Gurgin fought with Andariman
13.6.37	<xref n="Mohl 13.6.166"/>How Barta fought with Kuhram
13.6.38	<xref n="Mohl 13.6.164"/>How Zanga, Son of Shawaran, fought with Akhast
13.6.39	<xref n="Mohl 13.6.167"/>How Gudarz fought with Piran
13.6.40	<xref n="Mohl 13.6.168"/>How Gudarz returned to the Warriors of Tran
13.6.41	<xref n="Mohl 13.6.169"/>How Lahhak and Farshidward bewailed Piran
13.6.42	<xref n="Mohl 13.6.170"/>How Lahhak and Farshidward took the Road to Tiérdn
13.6.43	<xref n="Mohl 13.6.171"/>How Gustaham pursued Lahhak and Farshidward
13.6.44	<xref n="Mohl 13.6.172"/>How Bizhan followed after Gustaham
13.6.45	<xref n="Mohl 13.6.173"/>How Lahhak and Farshidward were slain by Gustaham
13.6.46	<xref n="Mohl 13.6.174"/>How Bizhan beheld Gustaham in the Mead
13.6.47	How Kati Khusrau built a Charnel-house for Piran and for the other Chiefs of Tiran, and how he slew Gurwi the Son of Zira
13.6.48	<xref n="Mohl 13.6.175"/>How the Térdnians asked Quarter of Kai Khusrau
13.6.49	<xref n="Mohl 13.6.176"/>How Bizhan returned with Gustaham
13.7.1	<xref n="Mohl 13.6.177"/>In Praise of Sultan Mahmud
13.7.2	<xref n="Mohl 13.6.178"/>How Kai Khusrau arrayed his Host against Afrasiyab
13.7.3	<xref n="Mohl 13.6.179"/>How Afrasiyab heard that Pirdén was slain and that Kai Khusrau had arrayed his Host
13.7.4	<xref n="Mohl 13.6.180"/>How Kai Khusrau had Tidings that Afrasiyab advanced to fight with him
13.7.5	<xref n="Mohl 13.6.181"/>How Shida came before his Father Afrasyiab
13.7.6	<xref n="Mohl 13.6.182"/>How Afrasiyab sent an Embassage to Kai Khusrau
13.7.7	<xref n="Mohl 13.6.184"/>How Kai Khusrau sent an Answer to Afrasyiab
13.7.8	<xref n="Mohl 13.6.185"/>How Kai Khusrau fought with Shida the Son of Afrasyiab
13.7.9	<xref n="Mohl 13.6.186"/>How Shida was slain by Khusrau
13.7.10	<xref n="Mohl 13.6.187"/>How the Battle was joined between the Hosts
13.7.11	<xref n="Mohl 13.6.188"/>How Afrasiyab fled
13.7.12	<xref n="Mohl 13.6.189"/>How Kai Khusrau announced his Victory to Kaus
13.7.13	<xref n="Mohl 13.6.190"/>How Afrasiyab went to Gang-bihisht<note n="4.186.1">Gang-dizh in the original. See p. 136.</note>/>
13.7.14	<xref n="Mohl 13.6.191"/>How Khusrau crossed the <placeName>Jihun</placeName>
13.7.15	<xref n="Mohl 13.6.192"/>How Kai Khusrau fought with Afrasiyab the second Time
13.7.16	<xref n="Mohl 13.6.193"/>How Afrasiyab took Refuge in Gang-bihisht
13.7.17	<xref n="Mohl 13.6.194"/>' The Letter of Afrasyiab to the Faghfur of Chin
13.7.18	<xref n="Mohl 13.6.195"/>How Kai Khusrau arrived before Gang-bihisht <note n="4.198.1">Gang-dizh in the original.</note>/>
13.7.19	<xref n="Mohl 13.6.196"/>How Jahn came to Kai Khusrau with an Embassage from Afrasyiab
13.7.20	<xref n="Mohl 13.6.197"/>How Kai Khusrau made Answer to Jahn
13.7.21	<xref n="Mohl 13.6.198"/>How Kai Khusrau fought with Afrasiyab and took Gang-bihisht<note n="4.207.1">Gang-dizh in the original.</note>/>
13.7.22	<xref n="Mohl 13.6.199"/>How Afrdsiyadb fled from Gang-bihisht <note n="4.211.1">Gang in the original.</note>/>
13.7.23	<xref n="Mohl 13.6.200"/>How Kai Khusrau gave Quarter to the Family of <persName>Afrasiyab</persName>
13.7.24	<xref n="Mohl 13.6.201"/>How Kai Khusrau exhorted the Iranians
13.7.25	<xref n="Mohl 13.6.202"/>How Kai Khusrau wrote a Letter with the News of his Victory to Kai Kaus
13.7.26	<xref n="Mohl 13.6.203"/>How Kai Khusrau had Tidings of the Coming of Afrdstydab with the Host of the Faghfur
13.7.27	<xref n="Mohl 13.6.204"/>The Message of Afrasiyab to Kai Khusrau
13.7.28	<xref n="Mohl 13.6.205"/>How the Iranians and Tiidnians fought
13.7.29	<xref n="Mohl 13.6.206"/>How Afrasiyab made a Night-attack upon Kai Khusrau and was defeated
13.7.30	<xref n="Mohl 13.6.207"/>How the Faghfur<note n="4.229.1">The Khan in the original, but the context seems to require the Faghfur.</note>/> of Chin sent an Envoy to Kai Khusrau
13.7.31	<xref n="Mohl 13.6.208"/>How Afrasiyab crossed the Sea —
13.7.32	<xref n="Mohl 13.6.209"/>How Kai Khusrau sent the Prisoners and Treasure to Kaus with a Letter
13.7.33	<xref n="Mohl 13.6.210"/>The Answer of Shah Kaus to the Letter of Khusrau
13.7.34	<xref n="Mohl 13.6.211"/>The Embassage of Kai Khusrau to the Faghfur of Chin and the King of Makran
13.7.35	<xref n="Mohl 13.6.212"/>How Kai Khusrau fought with the King of Makraén and how the King of Makréin was slain
13.7.36	<xref n="Mohl 13.6.213"/>How Kai Khusrau crossed the Sea
