15	THE PRELUDE
13.7.37	<xref n="Mohl 13.6.214"/>How Kai Khusrau reached Gang-dizh<note n="4.247.1">Gang in the original.</note>/>
13.7.38	<xref n="Mohl 13.6.215"/>How Kai Khusrau returned from Gang-dizh to Siyawushgird
13.7.39	<xref n="Mohl 13.6.216"/>How Kai Khusrau returned from Titran to the Land of Tran
13.7.40	<xref n="Mohl 13.6.217"/>How Kai Khusrau returned to his Grandsire
13.7.41	<xref n="Mohl 13.6.218"/>How Afrasiyab was captured by Hum of the Race of Faridun
13.7.42	<xref n="Mohl 13.6.219"/>How Afrasiyab escaped from Hum
13.7.43	<xref n="Mohl 13.6.220"/>How Kaus and Khusrau came to Hum 
13.7.44	<xref n="Mohl 13.6.221"/>How Afrasiyab was taken the second Time and how he and Garsiwaz were slain
13.7.45	<xref n="Mohl 13.6.222"/>How Kaus and Khusrau returned to Pars
13.7.46	<xref n="Mohl 13.6.223"/>The Death of Kai Kaus
13.7.47	<xref n="Mohl 13.6.224"/>How Kai Khusrau fell into Melancholy
13.7.48	<xref n="Mohl 13.6.225"/>How the Nobles inquired why Khusrau had closed his Court
13.7.49	<xref n="Mohl 13.6.226"/>How the Iranians summoned Zal and Rustam
13.7.50	<xref n="Mohl 13.6.227"/>How Kai Khusrau saw Surush in a Dream
13.7.51	<xref n="Mohl 13.6.228"/>How Zal admonished Kai Khusrau
13.7.52	<xref n="Mohl 13.6.229"/>How Kai Khusrau answered Zal
13.7.53	<xref n="Mohl 13.6.230"/>How Zal rebuked Kai Khusrau
13.7.54	<xref n="Mohl 13.6.231"/>How Kai Khusrau answered and how Zal excused himself
13.7.55	<xref n="Mohl 13.6.232"/>How Kai Khusrau gave his last Charge to the Iranians
13.7.56	<xref n="Mohl 13.6.233"/>How Kai Khusrau appointed Gudarz to be his
13.7.57	<xref n="Mohl 13.6.234"/>How Zal asked of Kai Khusrau a Patent for Rustam
13.7.58	<xref n="Mohl 13.6.235"/>How Kai Khusrau gave a Patent to Giv
13.7.59	<xref n="Mohl 13.6.236"/>How Kai Khusrau gave a Patent to Tus
13.7.60	<xref n="Mohl 13.6.237"/>How Kai Khusrau gave the Kingship to Luhrdsp
13.7.61	<xref n="Mohl 13.6.238"/>How Kai Khusrau farewelled his Women
13.7.62	<xref n="Mohl 13.6.239"/>How Kai Khusrau went to the Mountains and vanished in the Snow
13.7.63	<xref n="Mohl 13.6.240"/>How the Paladins were lost in the Snow
13.7.64	<xref n="Mohl 13.6.241"/>How Inhrdésp had Tidings of the Disappearance of
14.1.1	<xref n="Mohl 14.1.1"/>How Luhrasp built a Fire-temple at Balkh
14.1.2	<xref n="Mohl 14.1.2"/>How Gushtasp quitted Luhrasp in Wrath
14.1.3	<xref n="Mohl 14.1.3"/>How Gushtasp returned with Zarir
14.1.4	<xref n="Mohl 14.1.4"/>How Gushtasp set off for Rum
14.1.5	<xref n="Mohl 14.1.5"/>How Gushtasp arrived in Rum
14.1.6	<xref n="Mohl 14.1.6"/>How a Village-chief entertained Gushtasp
14.1.7	<xref n="Mohl 14.1.7"/>The Story of Katayun the Daughter of Caesar
14.1.8	<xref n="Mohl 14.1.8"/>How Caesar gave Katayun to Gushtasp
14.1.9	<xref n="Mohl 14.1.9"/>How Mirin asked in Marriage Caesar’s second Daughter
14.1.10	<xref n="Mohl 14.1.10"/>How Gushtasp slew the Wolf
14.1.11	<xref n="Mohl 14.1.11"/>How Ahran asked Caesar’s third Daughter in Marriage
14.1.12	<xref n="Mohl 14.1.12"/>How Gushtasp slew the Dragon and how Caesar gave his Daughter to Ahran
14.1.13	<xref n="Mohl 14.1.13"/>How Gushtasp displayed his Prowess on the Riding-ground
14.1.14	<xref n="Mohl 14.1.14"/>How Caesar wrote to Ilyas and demanded Tribute
14.1.15	<xref n="Mohl 14.1.15"/>How Gushtasp fought with Ilyas and slew him
14.1.16	<xref n="Mohl 14.1.16"/>How Caesar demanded from Luhrdsp Tribute for Iran
14.1.17	<xref n="Mohl 14.1.17"/>How Zarir carried a Message from Luhrasp to Caesar
14.1.18	<xref n="Mohl 14.1.18"/>How Gushtasp returned with Zarir to the Land of Tran and received the Throne from Luhrasp
15.1.1	<xref n="Mohl 15.1.1"/>How Firdausi saw Dakiki in a Dream
15.1.2	<xref n="Mohl 15.1.2"/>How Luhrdsp went to Balkh and how Gushtasp sat upon the Throne
15.1.3	<xref n="Mohl 15.1.3"/>How Zarduhsht appeared and how Gushtasp accepted his Evangel
15.1.4	<xref n="Mohl 15.1.4"/>How Gushtasp refused to Arjasp the Tribute for Iran
15.1.5	<xref n="Mohl 15.1.5"/>How Arjasp wrote a Letter to Gushtasp
15.1.6	<xref n="Mohl 15.1.6"/>How Arjasp sent Envoys to Gushtasp
15.1.7	<xref n="Mohl 15.1.7"/>How Zarir made Answer to Arjasp
15.1.8	<xref n="Mohl 15.1.8"/>How the Envoys returnel to Arjasp with the Letter of Gushtasp
15.1.9	<xref n="Mohl 15.1.9"/>How Gushtasp assembled his Troops
15.1.10	<xref n="Mohl 15.1.10"/>How Jamasp foretold the Issue of the Battle to Gushtasp
15.1.11	<xref n="Mohl 15.1.11"/>How Gushtasp and Arjasp arrayed their Hosts
15.1.12	<xref n="Mohl 15.1.12"/>The Beginning of the Battle between the Iranians and Turanians, and how Ardshir, Shira, and Shidasp were slain
15.1.13	<xref n="Mohl 15.1.13"/>How Girami, Jamasp's Son, and Nivzar were slain
15.1.14	<xref n="Mohl 15.1.14"/>How Zarir, the Brother of Gushtasp, was slain by Bidirafsh
15.1.15	<xref n="Mohl 15.1.16"/>How Asfandiyar heard of the Slaying of Zarir
15.1.16	<xref n="Mohl 15.1.17"/>How Asfandiyar went to battle with Arjasp
15.1.17	<xref n="Mohl 15.1.18"/>How Nastir and Asfandiyar slew Bidirafsh
15.1.18	<xref n="Mohl 15.1.19"/>How Arjasp fled from the Battle
15.1.19	<xref n="Mohl 15.1.20"/>How the Turkmans received Quarter from Asfandiyar
15.1.20	<xref n="Mohl 15.1.21"/>How Gushtasp returned to Balkh
15.1.21	<xref n="Mohl 15.1.22"/>How Gushtasp sent Asfandiyar to all the Provinces, and how the Folk received from him the good Religion
15.1.22	<xref n="Mohl 15.1.23"/>How Gurazm spake Evil of Asfandiyar
15.1.23	<xref n="Mohl 15.1.24"/>How Jamasp came to Asfandiyar
15.1.24	<xref n="Mohl 15.1.25"/>How Gushtasp imprisoned Asfandiyar
15.1.25	<xref n="Mohl 15.1.26"/>How Gushtasp went to Sistan and how Arjasp arrayed his Host the second Time
15.1.26	<xref n="Mohl 15.1.27"/>The Words of Dakiki being ended, Firdausi resumeth, praising Shah Mahmud and criticising Dakik
15.1.27	<xref n="Mohl 15.1.28"/>How the Host of Arjasp marched to Balkh and how Luhrasp was slain
15.1.28	<xref n="Mohl 15.1.29"/>How Gushtasp heard of the Slaying of Luhrdsp and led his Army toward Balkh
15.1.29	<xref n="Mohl 15.1.30"/>How Gushtasp was put to Flight by Arjasp
15.1.30	<xref n="Mohl 15.1.31"/>How Jamasp visited Asfandiyar
15.1.31	<xref n="Mohl 15.1.32"/>How Asfandiyar saw his Brother Farshidward
15.1.32	<xref n="Mohl 15.1.33"/>How Asfandiyar came to the Mountain to Gushtasp
15.1.33	<xref n="Mohl 15.1.34"/>How Gushtasp sent Asfandiyar the second Time to fight Arjasp
15.2.1	<xref n="Mohl 15.1.35"/>The Praise of Mahmud the great King
15.2.2	<xref n="Mohl 15.1.36"/>THE FIRST STAGE
15.2.3	<xref n="Mohl 15.1.37"/>THE SECOND STAGE: How Asfandiyar slew two Lions
15.2.4	<xref n="Mohl 15.1.38"/>THE THIRD STAGE
15.2.5	<xref n="Mohl 15.1.39"/>THE FOURTH STAGE: How Asfandiyar slew a Witch
15.2.6	<xref n="Mohl 15.1.40"/>THE FIFTH STAGE: How Asfandiyar slew the Simurgh
15.2.7	<xref n="Mohl 15.1.41"/>THe SIXTH STAGE: How Asfandiyar passed through the Snow
15.2.8	<xref n="Mohl 15.1.42"/>THE SEVENTH STAGE: How Asfandiyar crossed the River and slew Gurgsar
15.2.9	<xref n="Mohl 15.1.43"/>How Asfandiyar went to the Brazen Hold in the Guise of a Merchant
15.2.10	<xref n="Mohl 15.1.44"/>How the Sisters of Asfandiyar recognised him
15.2.11	<xref n="Mohl 15.1.45"/>How Bishutan assaulted the Brazen Hold
15.2.12	<xref n="Mohl 15.1.46"/>How Asfandiyar slew Arjasp
15.2.13	<xref n="Mohl 15.1.47"/>How Asfandiydir slew Kuhram
15.2.14	<xref n="Mohl 15.1.48"/>How Asfandiyar wrote a Letter to Gushtasp and his Answer
15.2.15	<xref n="Mohl 15.1.49"/>How Asfandiyar returned to Gushtasp
15.3.1	<xref n="Mohl 15.1.50"/>How Asfandiyar ambitioned the Throne and how Gushtasp took Counsel with the Astrologers<note n="5.167.2">This heading is not in the original, which has merely "The Beginning of the Story."</note>/>
15.3.2	<xref n="Mohl 15.1.51"/>How Asfandiyar demanded the Kingdom from his Father
15.3.3	<xref n="Mohl 15.1.52"/>How Gushtasp answered his Son
15.3.4	<xref n="Mohl 15.1.53"/>How Katayun counselled Asfandiyar
15.3.5	<xref n="Mohl 15.1.54"/>How Asfandiyar led a Host to Zdbul
15.3.6	<xref n="Mohl 15.1.55"/>How Asfandiyar sent Bahman to Rustam
15.3.7	<xref n="Mohl 15.1.56"/>How Bahman came to Zal
15.3.8	<xref n="Mohl 15.1.57"/>How Bahman gave the Message to Rustam
15.3.9	<xref n="Mohl 15.1.58"/>How Rustam made Answer to Asfandiyar
15.3.10	<xref n="Mohl 15.1.59"/>How Bahman returned
15.3.11	<xref n="Mohl 15.1.60"/>The Meeting of Rustam and Asfandiyar
15.3.12	<xref n="Mohl 15.1.61"/>How Asfandiyar summoned not Rustam to the Feast
15.3.13	<xref n="Mohl 15.1.62"/>How Asfandiyar excused himself for not summoning
15.3.14	<xref n="Mohl 15.1.63"/>How Asfandiyar spoke Shame of the Race of Rustam
15.3.15	How Rustam answered Asfandiyar, praising his own Race and his Deeds
15.3.16	<xref n="Mohl 15.1.64"/>How Asfandiyar boasted of his Ancestry
15.3.17	<xref n="Mohl 15.1.65"/>How Rustam vaunted his Valour
15.3.18	<xref n="Mohl 15.1.66"/>How Rustam drank Wine with Asfandiyar
15.3.19	<xref n="Mohl 15.1.67"/>How Rustam returned to his Palace
15.3.20	<xref n="Mohl 15.1.68"/>How Zal counselled Rustam
15.3.21	<xref n="Mohl 15.1.69"/>How Rustam fought with Asfandiyar
15.3.22	<xref n="Mohl 15.1.70"/>How the Sons of Asfandiyar were slain by Zawara and Faramarz
15.3.23	<xref n="Mohl 15.1.71"/>How Rustam fled to the Heights
15.3.24	<xref n="Mohl 15.1.72"/>How Rustam took Counsel with his Kin
15.3.25	<xref n="Mohl 15.1.73"/>How the Simurgh succoured Rustam
15.3.26	<xref n="Mohl 15.1.74"/>How Rustam went back to fight Asfamudiiydar
15.3.27	<xref n="Mohl 15.1.75"/>How Rustam shot Asfandiyar in the Eyes with an Arrow
15.3.28	<xref n="Mohl 15.1.76"/>How Asfandiyar told his last Wishes to Rustam
15.3.29	<xref n="Mohl 15.1.77"/>How Bishutan bare the Coffin of Asfandiyar to Gushtasp
15.3.30	<xref n="Mohl 15.1.78"/>How Rustam sent Bahman back to Iran
15.4.1	<xref n="Mohl 15.1.79"/>The Prelude
15.4.2	<xref n="Mohl 15.1.80"/>How Rustam went to Kabul on behalf of his Brother Shaghad
15.4.3	<xref n="Mohl 15.1.81"/>How the King of Kabul dug Pits in the Hunting-ground and how Rustam and Zawara fell therein
15.4.4	<xref n="Mohl 15.1.82"/>How Rustam slew Shaghad and died
15.4.5	<xref n="Mohl 15.1.83"/>How Zal received News of the Slaying of Rustam and Zawara, and how Faramarz brought their Coffins and set them in the Charnel-house
15.4.6	<xref n="Mohl 15.1.84"/>How Faramarz led an Army to avenge Rustam and slew the King of Kabul
15.4.7	<xref n="Mohl 15.1.85"/>How Rudaba lost her Wits through Mourning for Rustam
15.4.8	<xref n="Mohl 15.1.86"/>How Gushtasp gave the Kingdom to Bahman and died
16.1.1	<xref n="Mohl 16.1.1"/>How Bahman sought Revenge for the Death of Asfandiyar
16.1.2	<xref n="Mohl 16.1.2"/>How Bahman put Zal in Bonds
16.1.3	<xref n="Mohl 16.1.3"/>How Faramarz fought with Bahman and was put to Death
16.1.4	<xref n="Mohl 16.1.4"/>How Bahman released Zal and returned to Iran<note n="5.288.2">Reading with C and P.</note>/>
16.1.5	<xref n="Mohl 16.1.5"/>How Bahman married his own daughter Humai and appointed his Successor
17.1.1	<xref n="Mohl 17.1.1"/>How Humai cast away her son Darab on the River Farat in an Ark
17.1.2	<xref n="Mohl 17.1.2"/>How the Launderer brought up Darab
17.1.3	<xref n="Mohl 17.1.3"/>How Darab questioned the Launderer’s Wife about his
17.1.4	<xref n="Mohl 17.1.4"/>How Rashnawad learned the Case of Darab
17.1.5	<xref n="Mohl 17.1.5"/>How Darab fought against the Host of Rum
17.1.6	<xref n="Mohl 17.1.6"/>How Humai recognised her Son
17.1.7	<xref n="Mohl 17.1.7"/>How Humai seated Darab upon the Throne
18.1.1	<xref n="Mohl 18.1.1"/>How Darab built the City of Darabgird
18.1.2	<xref n="Mohl 18.1.2"/>How Darab defeated the Host of Sha'ib
18.1.3	<xref n="Mohl 18.1.3"/>How Darab fought with Failakus and took to Wife his Daughter
18.1.4	<xref n="Mohl 18.1.4"/>How Darab sent back the Daughter of Failakus to Rum, and how Sikandar was born
19.1.1	How Dara harangued the Chiefs and took Order for the Realm<note n="6.34.1">This heading is not in the original.</note>/>
19.1.2	<xref n="Mohl 19.1.1"/>The Death of Failakus and Sikandar’s Accession to the Throne
19.1.3	<xref n="Mohl 19.1.2"/>How Sikandar went as his own Ambassador to Dara
19.1.4	<xref n="Mohl 19.1.3"/>How Dara fought with Sikandar and was worsted
19.1.5	<xref n="Mohl 19.1.4"/>How Dara fought with Sikandar the second Time
19.1.6	<xref n="Mohl 19.1.5"/>How Sikandar fought with Dara the third Time, and how Dara fled to Kirman
19.1.7	<xref n="Mohl 19.1.6"/>How Dara wrote to Sikandar to propose Peace
19.1.8	<xref n="Mohl 19.1.7"/>How Dara was slain by his Ministers
19.1.9	<xref n="Mohl 19.1.8"/>How Dara told his last Wishes to Sikander andl diel
19.1.10	<xref n="Mohl 19.1.9"/>How Sikandar wrote to the Nobles of Iran
20.1.1	<xref n="Mohl 20.1.1"/>How Sikandar sat upon the Throne of Iran
20.1.2	<xref n="Mohl 20.1.2"/>How Sikandar wrote to Dilarai and Rushanak, the Wife and Daughter of Dara, touching the Nuptials of Rushanak
20.1.3	How Dilarai answered the Letter of Sikandar
20.1.4	<xref n="Mohl 20.1.3"/>How Sikandar sent his Mother, Nahid, to fetch Rushanak, and how he Married her
20.1.5	<xref n="Mohl 20.1.4"/>How Kaid of Hind had a Dream, and how Mihran interpreted it
20.1.6	<xref n="Mohl 20.1.6"/>How Sikander marched against Kaid of Hind and wrote a Letter to him
20.1.7	How Kaid of Hind answered Sikandar’s Letter and announced the Sending of the Four Wonders
20.1.8	How Sikandar sent back the Messenger to receive the Four Wonders
20.1.9	<xref n="Mohl 20.1.7"/>How Sikandar sent Ten<note n="6.101.1">Nine in P.</note>/> Sages with a Letter to inspect the Four Wonders of Kaid of Hind
20.1.10	<xref n="Mohl 20.1.8"/>How the Ten Sages brought the Daughter, the Cup, the Leech, and the Sage, from Kaid of Hind to Sikandar
20.1.11	<xref n="Mohl 20.1.9"/>How Sikandar tested the Sage, the Leech, and the Cup sent by Kaid of Hind
20.1.12	<xref n="Mohl 20.1.12"/>How Sikandar led a Host against Fur of Hind and wrote a Letter to him
20.1.13	How Fur answered the Letter of Sikandar
20.1.14	<xref n="Mohl 20.1.13"/>How Sikandar arrayed his Host to fight with Fur of Hind and made iron Steels and Riders filled with Naphtha
20.1.15	<xref n="Mohl 20.1.14"/>How the Host of Sikandar fought with the Host of Fur, how Fur was slain by Sikandar, and how Sikandar seated Sawurg upon the Throne of Fur
20.1.16	<xref n="Mohl 20.1.15"/>How Sikandar went on a Pilgrimage to the House of the Kaaba
20.1.17	<xref n="Mohl 20.1.16"/>How Sikandar led his Troops from Judda toward Misr
20.1.18	<xref n="Mohl 20.1.17"/>Sikandar’s Letter to Kaidafa, Queen of Andalus and her Answer
20.1.19	<xref n="Mohl 20.1.18"/>How Sikandar led his Troops to Andalus and took the Hold of King Faryan
20.1.20	<xref n="Mohl 20.1.19"/>How Sikandar went as an Ambassador to Kaidafa and was recognised by her
20.1.21	<xref n="Mohl 20.1.20"/>How Kaidafa counselled Sikandar
20.1.22	<xref n="Mohl 20.1.21"/>How Tainush, the Son of Kaidafa, was wroth with Sikandar, and how Sikandar took Precaution againat him
20.1.23	<xref n="Mohl 20.1.22"/>How Sikandar made a Compact with Kaidafa and returned to his Troops
20.1.24	<xref n="Mohl 20.1.23"/>How Sikandar went to the Country of the Brahmans, inquired into their Mysteries, and received an Answer
20.1.25	<xref n="Mohl 20.1.24"/>How Sikandar came to the Western Sea and saw Wonders
20.1.26	How Sikandar reached the Land of Habash, fought, and was victorious
20.1.27	<xref n="Mohl 20.1.25"/>How Sikandar reached the Land of the Narmpai, how he fought and was victorious, how he slew a Dragon, ascended a Mountain, and was forewarned of his own Death
20.1.28	<xref n="Mohl 20.1.26"/>How Sikander reached the City of Women, named Harum, and saw Wonders there
20.1.29	<xref n="Mohl 20.1.28"/>How Sikander went into the Gloom to seek the Water of Life and spake with Birds and Israfil
20.1.30	<xref n="Mohl 20.1.31"/>How Sikandar went to the East, saw Wonders, and built a Barrier against Yajuj and Majuj
20.1.31	<xref n="Mohl 20.1.32"/>How Sikandar saw a Corpse in a Palace of Jewels on the Top of a Mountain, and the Speaking Tree, and how he was warned of his Death
20.1.32	<xref n="Mohl 20.1.34"/>How Sikandar marched his Army to Chin, carried his own Letter to Faghfur, and returned to his Army with the Answer
20.1.33	<xref n="Mohl 20.1.35"/>How Sikandar returned from Chin, made War against the Sindians, and went to Yaman
20.1.34	<xref n="Mohl 20.1.36"/>How Sikandar marched toward Babil and found the Treasure of Kai Khusrau in a City
20.1.35	<xref n="Mohl 20.1.37"/>How Sikander went to the City of Babil, wrote a Letter to Arastalis, and received his Answer
20.1.36	<xref n="Mohl 20.1.38"/>Sikandar's Letter to his Mother
20.1.37	<xref n="Mohl 20.1.39"/>How Sikandar’s Life ended and how they carried his Coffin to Iskandariya
20.1.38	<xref n="Mohl 20.1.40"/>How the Sages and other Folk lamented Sikandar
20.1.39	<xref n="Mohl 20.1.41"/>How the Mother and Wife of Sikander lamented him
20.1.40	<xref n="Mohl 20.1.42"/>Firdausi’s Complaint of the Sky and Appeal to God
21.1.1	<xref n="Mohl 21.1.1"/>The Praise of Mahmud
21.1.2	<xref n="Mohl 21.1.2"/>The Tribal Kings
21.1.3	<xref n="Mohl 21.1.3"/>How Papak saw Sasan in a Dream and gave him a Daughter in Marriage
21.1.4	<xref n="Mohl 21.1.4"/>How Ardshir Papakan was born, and of his Case with Ardawan
21.1.5	<xref n="Mohl 21.1.6"/>How Ardawan’s Slave-girl fell in Love with Ardshir and how he fled with her to Pars
21.1.6	How Ardawan heard of the Flight of Ardshir with the Damsel and pursued them
21.1.7	How Ardawan wrote to Bahman, his Son, to take Ardshir
21.1.8	<xref n="Mohl 21.1.10"/>How Tabak helped Ardshir, fought with Bahman, and conquered him
21.1.9	<xref n="Mohl 21.1.11"/>How Ardawan led forth his Host for Battle with Ardshir and was slain.
21.1.10	<xref n="Mohl 21.1.12"/>How Ardshir fought with the Kurds and was defeated
21.1.11	How Ardshir attacked the Kurds by Night and overthrew them
21.1.12	<xref n="Mohl 21.1.13"/>The Story of Haftwad and the Case of the Worm
21.1.13	<xref n="Mohl 21.1.14"/>How Ardshir fought with Haftwad and was worsted
21.1.14	<xref n="Mohl 21.1.15"/>How Mihrak of Jahram sacked the Palace of Ardshir
21.1.15	<xref n="Mohl 21.1.16"/>How Ardshir heard about the Worm and made Shift to slay it
21.1.16	<xref n="Mohl 21.1.17"/>How Ardshir slew Haftwad
22.1.1	<xref n="Mohl 22.1.1"/>How Ardshir Papakan sat upon the Throne in Baghdad
22.1.2	<xref n="Mohl 22.1.2"/>The Case of Ardshir and the Daughter of Ardawan
22.1.3	<xref n="Mohl 22.1.3"/>How Shapur was born to Ardshir by the Daughter of Ardawan, and how after seven Years Ardshir heard of his Son and acknowledged him
22.1.4	<xref n="Mohl 22.1.5"/>How Ardshir, to find out the Future of his Reign, sent to Kaid of Hind, and Kaid’s Reply
22.1.5	<xref n="Mohl 22.1.6"/>The Adventure of Shadpir with the Daughter of Mihrak, and his taking her to Wife
22.1.6	<xref n="Mohl 22.1.7"/>How Urmuzd was born to Shapur by the Daughter of Mihrak
22.1.7	<xref n="Mohl 22.1.8"/>Of the Wisdom of Ardshir and his Method of administering the Realm
22.1.8	<xref n="Mohl 22.1.9"/>How Kharrad praised Ardshir
22.1.9	<xref n="Mohl 22.1.10"/>On the Faithlessness of Fortune
22.1.10	<xref n="Mohl 22.1.11"/>How Ardshir charged Shapur and died
22.1.11	<xref n="Mohl 22.1.12"/>Thanksgiving to the Maker and Praise of Mahmut, the great King
23.1.1	<xref n="Mohl 23.1.1"/>How Shapur sat upon the Throne and delivered a Charge to the Chieftains
23.1.2	<xref n="Mohl 23.1.2"/>How Shapur fought with the Rumans, how Bazanush, their General, was taken Prisoner, and how Caesar made Peace with Shapur
23.1.3	<xref n="Mohl 23.1.3"/>How Shapur seated Urmuzd upon the Throne and died
24.1.1	How Urmuzd addressed the Assembly
24.1.2	<xref n="Mohl 24.1.1"/>How Urmuzd gave up the Throne to Bahram, charged him, and died
25.1.1	How Bahram succeeded to the Throne, charged the Nobles, and died
26.1.1	How Bahram, Son of Bahram, ascended the Throne, charged the Nobles, and died
27.1.1	How Bahram Bahramiyan succeeded to the Throne and died four Months after
28.1.1	How Narsi succeeded to the Throne, counselled his Son, and died
29.1.1	How Urmuzd, Son of Narsi, ascended the Throne and how his Life ended
30.1.1	How Shapur, Son of Urmuzd, was born forty Days after his Father's Death, and how he was crowned
30.1.2	<xref n="Mohl 30.1.1"/>How Tair, the Arab, carried off the Daughter of Narsi and married her, how Shapur went to Yaman to fight him, and how his Daughter fell in Love with Shapur
30.1.3	<xref n="Mohl 30.1.3"/>How Tair was bemused by his Daughter and how she came to Shapur, who took the Hold and slew Tair
30.1.4	<xref n="Mohl 30.1.4"/>How Shapur went disguised as a Merchant to Rum, how he was taken by Caesar, and how Caesar ravaged the Land of Iran
30.1.5	<xref n="Mohl 30.1.5"/>How the Damsel took Measures to free Shapur, and how he fled with her from Rum
30.1.6	<xref n="Mohl 30.1.6"/>How the High Priest and the Captain of the Host, hearing of Shapur’s Arrival, went to him with the Troops
30.1.7	<xref n="Mohl 30.1.7"/>How Shapur made a Night-attack, and how Caesar was taken
30.1.8	<xref n="Mohl 30.1.8"/>How Shapur went to Rum and fought with Yanus, Caesar’s Brother
30.1.9	<xref n="Mohl 30.1.9"/>How the Rumans placed Bazanush upon the Throne of Caesar; his Letter to Shapur and the Answer
30.1.10	<xref n="Mohl 30.1.10"/>How Bazanush went to Shapur and made a Treaty of Peace
30.1.11	<xref n="Mohl 30.1.11"/>How Mani, the Painter, came to Shapur with Pretence of being a Prophet, and was slain
30.1.12	<xref n="Mohl 30.1.12"/>How Shapur made his Brother Ardshir Regent till his own Son should grow up, and how his Days ended
31.1.1	<xref n="Mohl 31.1.1"/>How Ardshir sat upon the Throne and gave a Charge to the Officers
32.1.1	How Shapur, Son of Shapur, sat upon the Throne and gave a Charge to the Officers
33.1.1	How Bahram sat upon the Throne and gave a Charge to the Officers
34.1.1	<xref n="Mohl 34.1.1"/>How Yazdagird sat upon the Throne and gave a Charge to the Officers
34.1.2	<xref n="Mohl 34.1.2"/>How Bahram Gur, Son of Yazdagird, was born and sent to be brought up by Munzir, the Arab
34.1.3	<xref n="Mohl 34.1.4"/>How Bahram went to the Chase with a Damsel and how he displayed his Accomplishment
34.1.4	<xref n="Mohl 34.1.5"/>How Bahram showed his Accomplishment in the Chase before Munzir
34.1.5	<xref n="Mohl 34.1.6"/>How Bahram came with Nuwmin to Yazdagird
34.1.6	<xref n="Mohl 34.1.7"/>How Yazdagird put Bahram in Bonds, how the escaped by the good Offices of Tainush, and how he returned to Munzir
34.1.7	<xref n="Mohl 34.1.8"/>How Yazdagird, by the Advice of an Archmage, went to the Spring of Sav and was killed by a Water-horse
34.1.8	<xref n="Mohl 34.1.9"/>How the Iranians took Counsel and placed Khusrau upon the Throne
34.1.9	<xref n="Mohl 34.1.10"/>How Bahram Gur heard of the Death of his Father and invaded Iran
34.1.10	<xref n="Mohl 34.1.11"/>How the Iranians heard of Bahram’s Pillaging and wrote to Munzir, and how he replied
34.1.11	<xref n="Mohl 34.1.12"/>How Bahram Gur arrived at Jahram with the Host of Munzir, and how the Iranians went out to him
34.1.12	<xref n="Mohl 34.1.13"/>How Bahram Gur haranqued the Iranians as to his Fitness to rule, how they rejected him but promised him the Kingship if he would take the Crown from between the Lions<note n="6.402.1">This heading combines those of two sections in C.</note>/>
34.1.13	How Bahram and Khusrau went to the Waste, and how Bahram slew the Lions and took his Seat upon the Throne
35.1.1	How Bahram ascended the Throne, charged the Officers, and wrote Letters to all the Chiefs
35.1.2	<xref n="Mohl 35.1.1"/>How Bahram pardoned the Fault of the Iranians, farewelled Munzir and Numan, and remitted the Iranians' Arrears of Taxes
35.1.3	<xref n="Mohl 35.1.2"/>How Bahram went to the House of Lambak, the Water-carrier, and became his Guest
35.1.4	<xref n="Mohl 35.1.3"/>How Bahram went to the House of Baraham, the Jew, who treated him scurvily
35.1.5	<xref n="Mohl 35.1.4"/>How Bahram bestowed the Wealth of Baraham upon Lambak
35.1.6	<xref n="Mohl 35.1.5"/>How Bahram slew Lions and forbade Wine-drinking
35.1.7	<xref n="Mohl 35.1.7"/>The Story of the young Shoemaker, and how Bahram allowed Wine again
35.1.8	<xref n="Mohl 35.1.8"/>How Riuzbih, Bahram’s High Priest, ruined a Village by a Stratagem and restored it
35.1.9	<xref n="Mohl 35.1.9"/>How Bahram married a Country-miller’s Daughters
35.1.10	<xref n="Mohl 35.1.10"/>How Bahram found the Treasures of Jamshid and bestowed them upon the Poor
35.1.11	<xref n="Mohl 35.1.11"/>How Bahram, returning from Hunting, went to the House of a Merchant and departed displeased
35.1.12	<xref n="Mohl 35.1.12"/>How Bahram slew a Dragon and went to a Yokel’s House
35.1.13	<xref n="Mohl 35.1.13"/>How Bahram went to the Chase and espoused the Daughters of the Thane Barzin
35.1.14	<xref n="Mohl 35.1.14"/>How Bahram slew Lions, went to the House of a Jeweller, and married his Daughter
