15	THE PRELUDE
35.1.15	<xref n="Mohl 35.1.15"/>How Bahram went to the Chase and passed the Night at the House of Farshidward
35.1.16	How a Bramble-grubber revealed the Case of Farshidward, and how Bahram bestowed that Householder’s Wealth upon the Poor
35.1.17	<xref n="Mohl 35.1.16"/>How Bahram went to the Chase and slew Lions
35.1.18	<xref n="Mohl 35.1.17"/>How Bahram went to hunt the Onager, showed his Skill before the Princes, and returned to Baghdad and Istakhr
35.1.19	<xref n="Mohl 35.1.18"/>How the Khan of Chin led forth a Host to war with Bahram, and how the Iranians asked Quarter of the Khan and submitted to him
35.1.20	<xref n="Mohl 35.1.19"/>How Bahram attacked the Host of the Khan and took him
35.1.21	<xref n="Mohl 35.1.20"/>How Bahram took a Pledge from the Turanians, how he set up a Pillar to delimit the Realm, and placed Shahra upon the Throne of Turan
35.1.22	<xref n="Mohl 35.1.21"/>How Bahram wrote to announce his Victory to his Brother Narsi and returned to Iran
35.1.23	<xref n="Mohl 35.1.23"/>How Bahram wrote a Letter of Directions to his Officials
35.1.24	<xref n="Mohl 35.1.25"/>How Bahram called before him the Envoy of Caesar, and how the Envoy questioned and answered the Archmages
35.1.25	How Bahram dismissed Caesar’s Envoy and charged his own Officials
35.1.26	<xref n="Mohl 35.1.28"/>How Bahram went with his own Letter to Shangul, King of Hind
35.1.27	<xref n="Mohl 35.1.30"/>How Shangul received the Letter from Bahram and made Reply
35.1.28	<xref n="Mohl 35.1.31"/>How Shangul prepared a Feast for Bahram, and how Bahram displayed his Prowess
35.1.29	<xref n="Mohl 35.1.32"/>How Shangul suspected Bahram and kept him from Iran
35.1.30	<xref n="Mohl 35.1.33"/>How Bahram fought with the Wolf at the Bidding of Shangul and slew it
35.1.31	<xref n="Mohl 35.1.34"/>How Bahram slew a Dragon
35.1.32	<xref n="Mohl 35.1.35"/>How Shangul became troubled about Bahram and gave a Daughter to him
35.1.33	<xref n="Mohl 35.1.36"/>How Faghfur of Chin wrote to Bahram and how he replied
35.1.34	<xref n="Mohl 35.1.37"/>How Bahram fled from Hindustan to Iran with the Daughter of Shangul
35.1.35	<xref n="Mohl 35.1.38"/>How Shangul followed Bahram, learned who he was, and was reconciled to him
35.1.36	<xref n="Mohl 35.1.39"/>How Shangul went back to Hind and Bahram to Iran
35.1.37	<xref n="Mohl 35.1.40"/>How Shangul with seven Kings visited Bahram
35.1.38	<xref n="Mohl 35.1.41"/>How Shangul returned to Hindustan, and how Bahram remitted the Property-tax to the Landowners
35.1.39	<xref n="Mohl 35.1.43"/>How Bahram summoned Gypsies from Hindustan
35.1.40	<xref n="Mohl 35.1.44"/>How the Time of Bahram came to an End
36.1.1	How Yazdagird sat upon the Throne and exhorted the Captains of the Host
37.1.1	<xref n="Mohl 37.1.1"/>How Hurmuz, Son of Yazdagird, ascended the Throne
38.1.1	<xref n="Mohl 38.1.1"/>How Piruz sat upon the Throne and made an Oration
38.1.2	<xref n="Mohl 38.1.2"/>How Piruz built the Cities of Piruz-Ram and Badan-Piruz, and how he went to war with Turan
38.1.3	<xref n="Mohl 38.1.3"/>The Letter of Khushnawaz to Piruz
38.1.4	<xref n="Mohl 38.1.4"/>How Piruz fought with Khushnawaz and was slain
39.1.1	<xref n="Mohl 39.1.1"/>How Balash ascended the Throne and harangued the Iranians
39.1.2	<xref n="Mohl 39.1.2"/>How Sufarai had Tidings of the Slaying of Piruz, how he wrote a Letter to Khushnawaz, and how Khushnawaz replied
39.1.3	<xref n="Mohl 39.1.3"/>How Sufarai fought with Khushnawaz, and how Kubad was released from his Bondage
40.1.1	<xref n="Mohl 40.1.1"/>How Kubad sat upon the Throne and made an Oration to the Iranians
40.1.2	<xref n="Mohl 40.1.2"/>How Sufarai went to Shiraz, how the Iranians slandered him to Kubad, and how Kubad slew him
40.1.3	<xref n="Mohl 40.1.3"/>How the Iranians put Kubad in Bonds and committed him to Rizmihr, the Son of Sufarai, and how Jamasp, the Brother of Kubad, was set upon the Throne
40.1.4	<xref n="Mohl 40.1.4"/>How Kubad escaped from Ward with Rizmihr, how he wedded the Daughter of a Thane, and how he took Refuge with the Haitalians
40.1.5	<xref n="Mohl 40.1.5"/>How Kubad returned from Haital to Iran, how he had Tidings of the Birth of his Son, Nushirwan, and reascended the Throne
40.1.6	<xref n="Mohl 40.1.6"/>The Story of Kubad and Mazdak, and how Kubad adopted the Faith of Mazdak
40.1.7	<xref n="Mohl 40.1.7"/>How Nushirwan rejected the Faith of Mazdak and slew him and his Followers
40.1.8	<xref n="Mohl 40.1.8"/>How Kubad nominated Kisra as Successor, and how the Great gave him the Name of Nushirwan<note n="7.209.1">Reading with P.</note>
41.1.1	The Prelude
41.1.2	<xref n="Mohl 41.1.1"/>How Nushirwan ascended the Throne and made an Oration to the Iranians
41.1.3	<xref n="Mohl 41.1.2"/>How Nushirwan divided his Realm into four Parts and wrote a Decree to his Officers on the Administration of Justice
41.1.4	<xref n="Mohl 41.1.4"/>How Nushirwan required Babak to muster the Host
41.1.5	<xref n="Mohl 41.1.5"/>How Nushirwan harangued the Iranians, and how the Kings acknowledged his Supremacy
41.1.6	<xref n="Mohl 41.1.6"/>How Nushirwan went round his Empire and built a Wall in the Pass between Iran and Turan
41.1.7	<xref n="Mohl 41.1.7"/>How Nushirwan chastised the Alans and the Men of Baluch and Gilan<note n="7.239.1">Literally, <gloss>rubbed the ears of.</gloss></note>
41.1.8	<xref n="Mohl 41.1.8"/>How Munzir, the Arab, came to Nushirwan for Succour against the Injustice of Caesar
41.1.9	<xref n="Mohl 41.1.9"/>The Letter of Shah Nushirwan to Caesar of Rum
41.1.10	How the Letter of Nushirwan reached Caesar and how he replied
41.1.11	<xref n="Mohl 41.1.10"/>How Nushirwan went to war with Caesar
41.1.12	<xref n="Mohl 41.1.11"/>How Nushirwan took divers Strongholds in his March to Rum
41.1.13	<xref n="Mohl 41.1.12"/>The Battle of Nushirwan with Farfuriyus, the Leader of Caesar’s Host, the Victory of Nushirwan, and his Capture of Kaliniyus and Antakiya
41.1.14	<xref n="Mohl 41.1.13"/>How Nushirwan built the City of Zib-i-Khusrau in the Likeness of Antakiya and settled the Roman Captives therein
41.1.15	<xref n="Mohl 41.1.14"/>How Caesar wrote to Nushirwan and sent Tribute
41.1.16	<xref n="Mohl 41.1.15"/>The Birth of Nushzad, the Son of Nushirwan, by a Woman who was a Christian
41.1.17	<xref n="Mohl 41.1.16"/>The Sickness of Nushirwan and the Sedition of Nushzad
41.1.18	<xref n="Mohl 41.1.17"/>The Letter of Nushirwan to Ram Barzin, the Warden of the March of Madain, respecting the Taking of Nushzad
41.1.19	<xref n="Mohl 41.1.18"/>How Ram Barzin fought with Nushzad, and how Nushzad was slain
41.2.1	<xref n="Mohl 41.1.19"/>How Nushirwan had a Dream and how Buzurjmihr interpreted it
41.2.2	<xref n="Mohl 41.1.21"/>The first Banquet of Nushirwan to the Sages, and the Counsels of Buzurjmihr
41.2.3	<xref n="Mohl 41.1.22"/>The second Banquet of Nushirwan to Buzurjmihr and the Archimages
41.2.4	<xref n="Mohl 41.1.23"/>The third Banquet of Nushirwan to Buzurjmihr and the Archimages
41.2.5	<xref n="Mohl 41.1.24"/>The fourth Banquet of Nushirwan to Bizurjmihr and the Archimages
41.2.6	<xref n="Mohl 41.1.25"/>The fifth Banquet of Nushirwan to Buzurjmihr and the Archimages
41.2.7	<xref n="Mohl 41.1.26"/>The sixth Banquet of Nushirwan to Buzurjmihr and the Archimages
41.2.8	<xref n="Mohl 41.1.27"/>The seventh Banquet of Nushirwan to Buzurjmihr and the Archimages
41.3.1	<xref n="Mohl 41.1.28"/>The Story of Mahbud, the Wazir of Nushirwan, and how Mahbud and his Sons were slain by the Sorcery of Zuran and a Jew
41.3.2	<xref n="Mohl 41.1.29"/>How the Sorcery of Zuran and the Jew in the Matter of Mahbud was discovered, and how both were slain by Command of Nushirwan
41.3.3	<xref n="Mohl 41.1.30"/>In Praise of the Wisdom of Nushirwan, and how he built the City of Sursan
41.3.4	<xref n="Mohl 41.1.31"/>The Story of the War of the Khan with Ghatkar, the Prince of the Haitalians, the defeat of Ghatkar, and how they set Faghanish upon the Throne
41.3.5	<xref n="Mohl 41.1.32"/>How Nushirwan had Tidings of the Battle of the Khan with the Haitalians and how he led a Host against the Khan
41.3.6	How the Khan had Tidings of the Coming of the Host of Nushirwan to Gurgan and wrote a Letter in the Cause of Peace
41.3.7	<xref n="Mohl 41.1.35"/>How Nushirwan answered the Letter of the Khan
41.3.8	<xref n="Mohl 41.1.36"/>How the Khan bethought himself and wrote offering his Daughter in Marriage to Nushirwan
41.3.9	<xref n="Mohl 41.1.37"/>How Nushirwan answered the Letter, and sent Mihran Sitad to see and fetch the Daughter of the Khan
41.3.10	How the Khan sent his Daughter, escorted by Mihran, with a Letter and Treasures to Nushirwan
41.3.11	<xref n="Mohl 41.1.38"/>How the Khan withdrew, and how Nushirwan marched from Gurgan to Taisafun
41.3.12	<xref n="Mohl 41.1.40"/>Discourse on the Justice of Nushirwan and how Mortals had Peace under his Usages
41.3.13	<xref n="Mohl 41.1.41"/>How Buzurjmihr counselled Nushirwan and discoursed on good Deeds and Words
41.4.1	<xref n="Mohl 41.1.42"/>How the Raja of Hind sent the Game of Chess to Nushirwan
41.4.2	<xref n="Mohl 41.1.43"/>How Buzurjmehr invented Nard, and how Nushirwan sent it with a Letter to the Raja of Hind
41.4.3	<xref n="Mohl 41.1.45"/>The Story of Gav and Talhand, and the Invention of Chess<note n="7.394.1">This heading is taken from P.</note>
41.4.4	<xref n="Mohl 41.1.53"/>How Nushirwan sent Barzwi, the Leech, to Hindustan to fetch a wondrous Drug, and how Barzwi brought back the Book of Kalila and Dimna
41.5.1	<xref n="Mohl 41.1.54"/>How Nushirwan was wroth with Buzurjmihr and ordered him to be put in Ward
41.5.2	<xref n="Mohl 41.1.55"/>How the Ambassador of Caesar came to Nushirwan with a locked Casket and how Buzurjmihr was set at large to declare its Contents
41.5.3	<xref n="Mohl 41.1.56"/>Discourse on the Responses of Nushirwan
41.5.4	<xref n="Mohl 41.1.57"/>Nushirwan’s Letter of Counsel to his Son Hurmuz
41.5.5	<xref n="Mohl 41.1.58"/>How an Archmage questioned Nushirwan and how he made Answer
41.6.1	<xref n="Mohl 41.1.59"/>How Nushirwan made ready to war against Caesar
41.6.2	<xref n="Mohl 41.1.60"/>How Nushirwan took the Stronghold of Sakila and how a Shoemaker had Dealings with him.
41.6.3	<xref n="Mohl 41.1.61"/>How the Envoys of Caesar came to Nushirwan with Apologies and Presents
41.6.4	<xref n="Mohl 41.1.62"/>How Nushirwan chose Hurmuzd as his Successor
41.6.5	<xref n="Mohl 41.1.63"/>How the Archimages questioned Hurmuzd and how he replied
41.6.6	<xref n="Mohl 41.1.64"/>How Nushirwan appointed Hurmuzd as his Successor and gave him parting Counsels
41.6.7	How Nushirwan had a Dream and how Buzurjmihr interpreted it as signifying the Appearance of Muhammad<note n="GRC">This episode does not appear in Mohl's translation.</note>
42.1.1	<xref n="Mohl 42.1.1"/>The Prelude
42.1.2	<xref n="Mohl 42.1.2"/>How Hurmuzd ascended the Throne and harangued the Chiefs
42.1.3	<xref n="Mohl 42.1.3"/>How Hurmuzd slew Izid Gashasp, Zarduhsht, Simadh Barzin and Bahram Azarmidokht, his Father's Ministers<note n="8.80.1">The heading in the original seems to have been carelessly compiled. The one above has been adopted to suit the account in the text.</note>
42.1.4	<xref n="Mohl 42.1.5"/>How Hurmuzd turned from Tyranny to Justice
42.1.5	<xref n="Mohl 42.1.6"/>How Hosts gathered from all Sides against Hurmuzd, and how he took Counsel with his Wazirs
42.1.6	<xref n="Mohl 42.1.7"/>How Hurmuzd heard of Bahram Chubina and sent for him
42.1.7	<xref n="Mohl 42.1.8"/>How Bahram Chubina came to Hurmuzd and was made Captain of the Host
42.1.8	<xref n="Mohl 42.1.10"/>How Bahram Chubina went with twelve thousand Cavaliers to fight King Sawa
42.1.9	<xref n="Mohl 42.1.11"/>How King Sawa sent a Message to Bahram Chubina and his Answer
42.1.10	<xref n="Mohl 42.1.12"/>How King Sawa and Bahram Chubina set the Battle in Array against each other
42.1.11	<xref n="Mohl 42.1.13"/>How King Sawa sent another Message to Bahram Chubina and his Answer
42.1.12	<xref n="Mohl 42.1.15"/>How Bahram Chubina had a Dream in the Night, how he gave Battle the next Morning, and how King Sawa was slain
42.1.13	<xref n="Mohl 42.1.18"/>How Bahram Chubina sent a Letter announcing his Victory, and the Head of King Sawa, to Hurmuz, and his Answer
42.1.14	<xref n="Mohl 42.1.19"/>How Bahram Chubina fought with Parmuda, Son of King Sawa, and overcame him, and how Parmida took Refuge in the Hold of Awdza
42.1.15	<xref n="Mohl 42.1.20"/>How Bahram Chubina sent a Message to Parmida and how Parmida asked Quarter
42.1.16	<xref n="Mohl 42.1.21"/>How Bahram Chubina asked of Hurmuzd a Warrant to spare the Life of Parmida and the Answer
42.1.17	<xref n="Mohl 42.1.22"/>How Hurmuzd’s Letter granting Quarter to Parmiuda reached Bahram Chubina, and how Bahram Chubina was wroth with Parmida
42.1.18	<xref n="Mohl 42.1.23"/>How Parmida came before Hurmuzd with the Treasures sent by Bahram Chubina
42.1.19	<xref n="Mohl 42.1.24"/>How Hurmuzd heard of the Ill-doing of Bahram Chubina and made a Compact with the Khan
42.1.20	<xref n="Mohl 42.1.25"/>How Hurmuzd wrote a chiding Letter to Bahram Chubina and sent him a Distaff-case, Cotton, and Women’s Raiment.
42.1.21	How Bahram Chubina put on the Woman's Dress and showed himself therein to the Chiefs of the Host
42.1.22	<xref n="Mohl 42.1.26"/>How Bahram Chubina went to hunt and saw a Lady who foretold the Future to him
42.1.23	<xref n="Mohl 42.1.27"/>How Bahram Chubina assumed the royal Style and how Kharrad, Son of Barzin, and the Archscribe<note n="8.158.3">Izid Gashasp in the original. Cf. p. 106.</note> fled
42.1.24	<xref n="Mohl 42.1.28"/>How Hurmuz received News of Bahram Chubina’s Doings, and how Bahram Chubina sent a Frail of Swords to Hurmuz
42.1.25	<xref n="Mohl 42.1.29"/>How Bahram Chubina made known to the Chiefs his Designs upon the Throne, and how his Sister Gurdya advised him
42.1.26	<xref n="Mohl 42.1.30"/>Money with the Name of Khusrau Parwiz and sent it to Hurmuzd
42.1.27	<xref n="Mohl 42.1.31"/>How Bahram Chubina wrote to Hurmuzd an how Khusrau Parwiz fled from his Father.
42.1.28	<xref n="Mohl 42.1.32"/>How Hurmuzd sent Ayin Gashasp with an Army to fight Bahram Chubina and how he was slain by his Comrade
42.1.29	<xref n="Mohl 42.1.33"/>How Hurmuzd grieved, refused Audience to the Iranians, and was blinded by Bandwi and Gustaham.
42.1.30	How Khusrau Parwiz heard of the Blinding of Hurmuzd
43.1.1	The Prelude
43.1.2	<xref n="Mohl 43.1.2"/>How Khusrau Parwiz sat upon the Throne and made an Oration
43.1.3	How Khusrau Parwiz visited his Father and asked Forgiveness
43.1.4	<xref n="Mohl 43.1.3"/>How Bahram Chubina heard of the Blinding of Shah Hurmuzd and how he led his Troops against Khusrau Parwiz
43.1.5	<xref n="Mohl 43.1.4"/>How Khusrau Parwiz and Bahram Chubina met and parleyed
43.1.6	<xref n="Mohl 43.1.5"/>How Bahram Chubina and Khusrau Parwiz returned, how Gurdya advised Bahram Chubina, and how Khusrau Parwiz told his Purpose to the Iranians
43.1.7	<xref n="Mohl 43.1.7"/>How Bahram Chubina attacked the Army of Khusrau Parwiz by Night and how Khusrau Parwiz fled
43.1.8	<xref n="Mohl 43.1.8"/>How Khusrau Parwiz went to his Sire and fled to Rum, and how Hurmuzd was slain
43.1.9	<xref n="Mohl 43.1.9"/>How Bahram Chubina sent Troops after Khusrau Parwiz and how Bandwi contrived to rescue him from their Hands
43.1.10	<xref n="Mohl 43.1.10"/>How Bahram, the Son of Siyavush, took Bandwi and carried him to Bahram Chubina
43.1.11	<xref n="Mohl 43.1.11"/>How Bahram Chubina summoned the Magnates of Iran, how they discussed his Pretensions to the Kingship, and how he acceded to the Throne
43.1.12	<xref n="Mohl 43.1.13"/>How Bandwi plotted with Bahram, the Son of Siyavush, to slay Bahram Chubina, and how Bandwi fled from Bond
43.1.13	<xref n="Mohl 43.1.14"/>How Khusrau Parwiz went toward Rum by the Desert route and how a Hermit told him of the Past and Future
43.1.14	<xref n="Mohl 43.1.17"/>How a Cavalier of Caesar came to Khusrau Parwiz and how Khusrau Parwiz sent a Letter by Gustaham, Badwi, Andiyan, Kharrad, Son of Barzin, and Shapur to Caesar
43.1.15	<xref n="Mohl 43.1.18"/>How Caesar answered the Letter of Khusrau Parwiz
43.1.16	How Caesar wrote to Khusrau Parwiz, declining to help him, and his Answer
43.1.17	<xref n="Mohl 43.1.19"/>How Caesar wrote the second Time to Khusrau Parwiz about giving him Aid
43.1.18	<xref n="Mohl 43.1.20"/>How Khusrau Parwiz answered Caesar about the Alliance
43.1.19	<xref n="Mohl 43.1.21"/>How Caesar made a Talisman and deceived the Envoys of Khusrau Parwiz, and how Kharrad, Son of Barzin, solved the Mystery
43.1.20	<xref n="Mohl 43.1.22"/>How Kharrad, Son of Barzin, expounded the Faith of the Indians and exhorted Caesar
43.1.21	<xref n="Mohl 43.1.23"/>How Caesar sent a Host and his Daughter to Khusrau Parwiz
43.1.22	<xref n="Mohl 43.1.24"/>How Khusrau Parwiz led his Host to Azar Abadagan and how Bandwi met him on the Way
43.1.23	<xref n="Mohl 43.1.25"/>How Bahram Chubina had Tidings of the Coming of Khusrau Parwiz and wrote to the Chiefs of Iran, and how the Letter fell into the Hands of Khusrau Parwiz and his Answer
43.1.24	<xref n="Mohl 43.1.26"/>How Khusrau Parwiz fought with Bahram Chubina and how Kut, the Ruman, was slain
43.1.25	<xref n="Mohl 43.1.27"/>How Khusrau Parviz fought with Bahram Chubina the second Time, was defeated, and escaped from him by the Help of Surush
43.1.26	<xref n="Mohl 43.1.28"/>How Khusrau Parwiz fought the third Time with Bahram Chubina and defeated him
43.1.27	<xref n="Mohl 43.1.29"/>How Khusrau Parwiz sent an Army under Nastuh<note n="8.302.1">Reading with P.</note> after Bahram Chubina, and how Bahram Chubina captured him and reached the Khan of Chin
43.1.28	<xref n="Mohl 43.1.30"/>How Khusrau Parwiz pillaged the Camp of Bahram Chubina and wrote a Letter to Caesar who answered it with a Robe of Honour and Gifts
43.1.29	<xref n="Mohl 43.1.31"/>How Niyatus was wroth with Bandwi and how Maryam made Peace between them
43.1.30	<xref n="Mohl 43.1.32"/>How Khusrau Parwiz gave Presents to Niyatus and the Rumans, how he dismissed them to Rum, and wrote Patents for the Nobles of Iran
43.1.31	<xref n="Mohl 43.1.33"/>Firdausi’s Lament for the Death of his Son
43.1.32	<xref n="Mohl 43.1.34"/>The Story of Bahram Chubina and the Khan of Chin
43.1.33	<xref n="Mohl 43.1.35"/>How Makatura was slain by Bahram Chubina
43.1.34	<xref n="Mohl 43.1.36"/>How the Lion-ape slew a Daughter of the Khan, how it was slain by Bahram Chubina, and how the Khan gave him a Daughter and the Kingdom of Chin
43.1.35	<xref n="Mohl 43.1.38"/>How Khusrau Parwiz heard of the Case of Bahram Chubina and wrote a Letter to the Khan, and how he replied
43.1.36	<xref n="Mohl 43.1.40"/>How Khusrau Parwiz sent Kharrad, Son of Barzin, to the Khan and how he schemed to slay Bahram Chubina
43.1.37	<xref n="Mohl 43.1.41"/><xref n="Mohl 43.1.41"/>How Bahram Chubina was slain by Kulun as Kharrad, Son of Barzin, had planned
43.1.38	<xref n="Mohl 43.1.43"/>How the Khan had Tidings of Bahram Chubina’s Death and how he destroyed the House and Family of Kulun
43.1.39	How Khusrau Parwiz had Tidings of the Slaying of Bahram Chubina and honoured Kharrad, Son of Barzin
43.1.40	<xref n="Mohl 43.1.44"/>How the Khan sent his Brother to Gurdya, the Sister of Bahram Chubina, with a Letter touching her Brother's Death and asking her in Marriage as his Queen, and her Answer
43.1.41	<xref n="Mohl 43.1.45"/>How Gurdya consulted her Nobles and fled from Marv
43.1.42	<xref n="Mohl 43.1.46"/>How the Khan received Tidings of the Flight of Gurdya and how he sent Tuwurg<note n="8.351.1">Reading with P.</note> with an Army after her, and how Gurdya slew Tuwurg
43.1.43	How Gurdya wrote to Gurdwi
43.1.44	<xref n="Mohl 43.1.47"/>How Khusrau Parwiz slew Bandwi
43.1.45	<xref n="Mohl 43.1.48"/>How Gustaham rebelled against Khusrau Parwiz and took Gurdya to Wife
43.1.46	<xref n="Mohl 43.1.49"/>How Khusrau Parwiz took Counsel with Gurdwi concerning Gustaham and how Gurdya, prompted by Gurduwi, slew him
43.1.47	<xref n="Mohl 43.1.50"/>How Gurdya wrote to Khusrau Parwiz and how he summoned and married her
43.1.48	<xref n="Mohl 43.1.51"/>How Gurdya showed her Accomplishment before Khusrau Parwiz
43.1.49	<xref n="Mohl 43.1.52"/>How Khusrau Parwiz sent an ill-disposed Marchlord to Rai and how he oppressed the Folk there
43.1.50	How Gurdya made Sport before Khusrau Parwiz and how he gave Rai to her
43.1.51	<xref n="Mohl 43.1.53"/>How Khusrau Parwiz portioned out his Realm
43.1.52	<xref n="Mohl 43.1.54"/>How Shirwi, the Son of Khusrau Parwiz, was born of Maryam with bad Auspices and how Khusrau Parwiz informed Caesar
43.1.53	<xref n="Mohl 43.1.55"/>How Caesar wrote a Letter to Khusrau Parviz, sent Gifts, and asked for the Cross of Christ
43.1.54	<xref n="Mohl 43.1.56"/>How Khusrau Parviz answered Caesar’s Letter and sent Gifts
43.1.55	<xref n="Mohl 43.1.57"/>The Prelude
43.1.56	<xref n="Mohl 43.1.58"/>How Khusrau Parviz loved Shirin, how they parted, how he met her again while hunting and sent her to his Bower<note n="8.383.2">Part of this heading is not in the original.</note>
43.1.57	<xref n="Mohl 43.1.59"/>How the Nobles heard that Shirin had come to the Bower of Khusrau Parviz and how they advised him and were satisfied with his Answer
43.1.58	<xref n="Mohl 43.1.60"/>How Shirin murdered Maryam and how Khusrau Parviz put Shirwi in Bonds
43.1.59	<xref n="Mohl 43.1.61"/>How Khusrau Parviz made the Throne of Tékdis
43.1.60	<xref n="Mohl 43.1.62"/>The Story of Sarkash and Barbad, the Minstrel, and Khusrau Parviz
43.1.61	<xref n="Mohl 43.1.63"/>How Khusrau Parviz built the Palace<note n="8.400.1">City in text</note> of Madāin
43.1.62	<xref n="Mohl 43.1.64"/>Discourse on the Splendour and Greatness of Khusrau Parviz
43.1.63	<xref n="Mohl 43.1.65"/>How Khusrau Parviz turned from Justice, how the Chiefs revolted, and how Guraz called in Caesar
43.1.64	<xref n="Mohl 43.1.66"/>How Caesar withdrew through an Expedient of Khusrau Parviz and how the Chiefs released Shirwi from Bonds
43.1.65	<xref n="Mohl 43.1.69"/>How Khusrau Parwiz was taken and how Shirwi sent him to Taisafun
44.1.1	<xref n="Mohl 44.1.1"/>How Shirwi ascended the Throne, announced his Will, and sent Chiefs to his Father with Counsel and Excuses
44.1.2	<xref n="Mohl 44.1.2"/>How Khusrau Parwiz answered Shiruwi
44.1.3	How Shirwi grieved for Khusrau Parwiz and how the Chiefs were displeased thereat
44.1.4	<xref n="Mohl 44.1.3"/>How Barbad lamented Khusrau Parwiz, cut off his own Fingers, and burned his Instruments of Music
44.1.5	<xref n="Mohl 44.1.4"/>How the Chiefs demanded from Shirwi the Death of Khusrau Parwiz and how he was slain by Mihr Hurmuzd
44.1.6	<xref n="Mohl 44.1.5"/>How Shirwi asked Shirin in Marriage, how Shirin killed herself, and how Shirwi was slain
45.1.1	<xref n="Mohl 45.1.1"/>How Ardshir, Son of Shirwi, ascended the Throne and harangued the Chiefs
45.1.2	<xref n="Mohl 45.1.2"/>How Guraz was displeased at Ardshir being Shah and how he caused Ardshir to be slain by Piruz, Son of Khusrau
46.1.1	<xref n="Mohl 46.1.1"/>How Guraz (also called Farayin) received News of the Slaying of Ardshir, hastened to Iran, took Possession of the Throne, and was killed by Shahranguraz
47.1.1	How Purandukht ascended the Throne and slew Piruz, Son of Khusrau, and how her own Life ended
48.1.1	How Azarmdukht ascended the Throne and how she died
49.1.1	How Farrukhzad ascended the Throne and how he was slain by a Slave
50.1.1	How Yazdagird ascended the Throne and addressed the Chiefs
50.1.2	<xref n="Mohl 50.1.1"/>How Sa’ad, Son of Wakkas, invaded Iran, how Yazdagird sent Rustam to oppose him, and how Rustam wrote a Letter to his Brother
50.1.3	<xref n="Mohl 50.1.2"/>How Rustam wrote to Saad, Son of Wakkas, and how he replied
50.1.4	<xref n="Mohl 50.1.4"/>How Rustam fought with Saad, Son of Wakkas, and was slain
50.1.5	<xref n="Mohl 50.1.5"/>How Yazdagird consulted with the Iranians and went to Khurasan
50.1.6	<xref n="Mohl 50.1.6"/>How Yazdagird wrote to Mahwi of Sur
50.1.7	How Yazdagird wrote to the Marchlords of Tus
50.1.8	<xref n="Mohl 50.1.7"/>How Yazdagird went to Tus and how Mahwi of Sur met him
50.1.9	<xref n="Mohl 50.1.8"/>How Mahwi of Sur incited Bizhan to war with Yazdagird and how Yazdagird fled and hid himself in a Mill
50.1.10	How Mahwi of Sur sent the Miller to kill Yazdagird, and how the Archimages counselled Mahwi to forbear
50.1.11	<xref n="Mohl 50.1.9"/>How Yazdagird was slain by Khusrau, the Miller
50.1.12	<xref n="Mohl 50.1.10"/>How Mahwi of Sur was informed of the Obsequies<note n="9.112.1"><gloss>Slaying</gloss> in the text.</note> of Yazdagird and ascended the Throne
50.1.13	<xref n="Mohl 50.1.11"/>How Bizhan, hearing of the Slaying of Yazdagird and of Mahwi of Sur's Accession to the Throne, led forth the Host to fight with him
50.1.14	<xref n="Mohl 50.1.12"/>How Mahwi of Sur was taken and slain by Order of Bizhan
50.1.15	<xref n="Mohl 50.1.13"/>Account of the Completion of the Shahnama
